Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL,Stage
19,-1810.8929,-18040.9966,-3005.7218,1923.8335,-1183.0474,-19851.889499999997,-2264.9357,-22116.825199999996,8
0,-1862.7603,-17882.9426,-3128.2249,1915.5648,-1168.0505,-19745.702899999997,-2380.7106000000003,-22126.4135,9
1,-1806.8142,-17870.2001,-3207.5171,1925.9976,-1191.6961,-19677.0143,-2473.2156,-22150.229900000002,9
2,-1792.8235,-17868.9518,-3122.22,1925.7094,-1183.2374,-19661.775299999998,-2379.7479999999996,-22041.5233,9
3,-1838.0925,-17936.2819,-3122.6002,1914.4875,-1168.8452,-19774.3744,-2376.9579,-22151.332300000002,9
4,-1847.2222,-17911.5729,-3091.8194,1909.8003,-1171.4297,-19758.7951,-2353.4487999999997,-22112.2439,9
5,-1800.345,-17946.4315,-3125.7071,1923.9895,-1184.5007,-19746.7765,-2386.2183000000005,-22132.9948,9
6,-1838.2864,-17980.7369,-3119.6576,1914.3032,-1175.4964,-19819.0233,-2380.8508,-22199.8741,9
7,-1837.6074,-17999.7057,-3037.8544,1910.1357,-1174.0865,-19837.3131,-2301.8052,-22139.118300000002,9
8,-1822.4809,-18052.5406,-3043.4834,1911.0997,-1169.0169,-19875.0215,-2301.4006,-22176.4221,9
9,-1866.808,-17878.1585,-3092.5841,1921.8348,-1184.281,-19744.966500000002,-2355.0303,-22099.9968,9
10,-1809.8462,-18090.6421,-2936.4568,1913.3488,-1176.6052,-19900.4883,-2199.7132,-22100.201500000003,9
11,-1830.5722,-17945.9588,-3122.0671,1921.5655,-1182.1214,-19776.531,-2382.6230000000005,-22159.154,9
12,-1781.0235,-17839.7093,-3247.7684,1937.1155,-1202.372,-19620.732799999998,-2513.0249,-22133.7577,9
13,-1798.3927,-17919.466,-3129.8825,1934.2852,-1200.7304,-19717.8587,-2396.3277,-22114.186400000002,9
14,-1818.7184,-18004.7266,-2996.3657,1934.46,-1197.421,-19823.445000000003,-2259.3266999999996,-22082.7717,9
15,-1842.268,-17810.5877,-3152.1464,1929.0641,-1177.959,-19652.8557,-2401.0413,-22053.897,9
16,-1845.1594,-17979.8249,-3062.3219,1934.46,-1196.0421,-19824.9843,-2323.9039999999995,-22148.8883,9
17,-1832.4821,-18025.1143,-3033.6917,1928.2514,-1186.4868,-19857.596400000002,-2291.9271,-22149.5235,9
18,-1850.2174,-17827.0306,-3190.1481,1913.0322,-1161.9701,-19677.248,-2439.086,-22116.333999999995,9
19,-1860.887,-17837.1214,-3100.0311,1904.4847,-1155.7522,-19698.0084,-2351.2986,-22049.306999999997,9
0,-1863.3398,-17743.5413,-3143.4507,1918.7541,-1169.1683,-19606.881100000002,-2393.8648999999996,-22000.746000000003,10
1,-1820.1327,-17905.2312,-3098.0146,1919.2172,-1173.5959,-19725.363899999997,-2352.3932999999997,-22077.757199999996,10
2,-1838.3962,-18014.9659,-2922.4055,1927.8309,-1180.4356,-19853.3621,-2175.0101999999997,-22028.3723,10
