Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL,Stage
2,-34.2582,-467.6519,-258.6004,132.2269,-127.5401,-501.9101,-253.91359999999997,-755.8236999999999,2
3,-37.9289,-452.9453,-260.1453,129.9637,-127.103,-490.8742,-257.2846,-748.1587999999999,2
4,-37.6435,-461.8424,-254.0716,130.3369,-125.8279,-499.4859,-249.56259999999997,-749.0485,2
5,-37.1797,-465.7847,-244.0032,129.8644,-126.2909,-502.96439999999996,-240.4297,-743.3941,2
6,-44.9698,-458.1291,-262.0004,130.507,-126.9408,-503.0989,-258.43420000000003,-761.5331,2
7,-38.1529,-460.3344,-256.0161,130.6157,-126.9843,-498.4873,-252.3847,-750.872,2
8,-32.044,-457.8221,-261.5315,130.5212,-125.5365,-489.86609999999996,-256.5468,-746.4129,2
9,-42.6023,-455.0651,-263.2295,130.3889,-126.1851,-497.6674,-259.0257,-756.6931,2
10,-34.9372,-457.6423,-258.996,130.3936,-126.3733,-492.5795,-254.9757,-747.5551999999999,2
11,-41.4014,-454.73,-263.6005,130.3133,-126.2015,-496.13140000000004,-259.4887,-755.6201,2
12,-41.3231,-447.1557,-266.9198,130.3889,-126.7263,-488.47880000000004,-263.2572,-751.736,2
13,-39.7262,-467.4943,-263.0151,130.6393,-125.8152,-507.2205,-258.19100000000003,-765.4114999999999,2
14,-36.1959,-458.5113,-261.2386,131.2914,-125.8531,-494.7072,-255.8003,-750.5074999999999,2
15,-44.4359,-452.8316,-254.4096,131.5749,-125.6526,-497.2675,-248.4873,-745.7548,2
16,-39.5063,-461.4645,-252.9959,130.8142,-126.5952,-500.9708,-248.7769,-749.7476999999999,2
17,-37.7928,-461.0548,-254.9227,131.2536,-126.465,-498.8476,-250.1341,-748.9817,2
18,-38.8479,-462.6489,-260.1628,130.3039,-125.8645,-501.4968,-255.72340000000003,-757.2202,2
19,-33.8079,-454.276,-264.3322,130.9937,-126.8868,-488.0839,-260.2253,-748.3092,2
0,-37.2033,-448.0355,-264.196,131.0835,-128.0441,-485.2388,-261.1566,-746.3954,3
1,-34.3828,-466.9059,-265.9659,131.2489,-127.9958,-501.28869999999995,-262.7128,-764.0015,3
2,-38.7998,-473.4342,-253.5446,130.1999,-125.2767,-512.2339999999999,-248.6214,-760.8553999999998,3
3,-31.6267,-461.6135,-256.0557,131.2205,-126.8624,-493.24019999999996,-251.69760000000002,-744.9377999999999,3
4,-32.749,-454.0287,-263.2566,130.3416,-126.9588,-486.77770000000004,-259.87379999999996,-746.6515,3
5,-37.2524,-459.6233,-255.1236,129.6518,-125.7026,-496.8757,-251.1744,-748.0500999999999,3
6,-39.035,-460.9893,-252.1032,129.2549,-125.3367,-500.02430000000004,-248.185,-748.2093,3
7,-40.723,-447.8096,-263.8951,131.9292,-126.5765,-488.5326,-258.5424,-747.0749999999999,3
8,-39.9765,-451.5979,-265.2167,130.7102,-126.6222,-491.57439999999997,-261.12870000000004,-752.7031,3
9,-41.3357,-455.3643,-259.5702,129.6565,-125.6056,-496.70000000000005,-255.5193,-752.2193000000001,3
10,-35.4765,-451.4532,-266.3643,132.5152,-128.57,-486.92969999999997,-262.4191,-749.3488,3
11,-33.0836,-451.5197,-262.9446,130.9606,-126.6128,-484.6033,-258.5968,-743.2001,3
12,-39.794,-458.1129,-259.069,131.2441,-127.5984,-497.9069,-255.4233,-753.3302,3
13,-35.0827,-457.0294,-263.6605,130.9464,-128.6261,-492.1121,-261.3402,-753.4522999999999,3
14,-30.0575,-460.5031,-260.8631,131.4993,-127.2595,-490.5606,-256.6233,-747.1839000000001,3
15,-38.9018,-426.4617,-281.4807,132.4159,-127.396,-465.3635,-276.4608,-741.8243,3
16,-38.5397,-436.1454,-274.8507,131.6363,-127.0478,-474.6851,-270.2622,-744.9473,3
17,-43.1924,-438.1735,-264.9355,131.9576,-125.854,-481.3659,-258.83189999999996,-740.1978000000001,3
18,-43.487,-440.9724,-272.8998,133.6444,-128.6147,-484.4594,-267.87010000000004,-752.3295,3
19,-39.1305,-435.7994,-275.802,132.4774,-126.1768,-474.9299,-269.50140000000005,-744.4313,3
0,-39.4838,-427.948,-280.5035,133.5121,-127.8645,-467.43179999999995,-274.85589999999996,-742.2876999999999,4
1,-40.1199,-413.1199,-286.9423,133.531,-127.9163,-453.23979999999995,-281.32759999999996,-734.5674,4
2,-37.8964,-426.1506,-279.7276,134.0839,-129.8461,-464.047,-275.4898,-739.5368,4
3,-42.7065,-424.9944,-284.3761,133.9752,-129.4459,-467.7009,-279.84680000000003,-747.5477000000001,4
4,-38.5634,-432.3979,-268.4137,132.7892,-128.3819,-470.9613,-264.0064,-734.9677,4
5,-36.7204,-412.2948,-287.4499,134.0886,-129.2735,-449.0152,-282.63480000000004,-731.65,4
