Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL,Stage
16,-1671.5787,-17088.7894,-3204.1961,1853.9224,-1196.751,-18760.3681,-2547.0247,-21307.3928,32
17,-1694.4861,-17245.8432,-3062.4784,1850.7567,-1192.5026,-18940.329299999998,-2404.2243,-21344.5536,32
18,-1738.2675,-17102.0801,-3147.8189,1856.2991,-1194.7932,-18840.3476,-2486.313,-21326.6606,32
19,-1692.5047,-17250.3212,-3059.5882,1852.4057,-1187.1333,-18942.8259,-2394.3158000000003,-21337.141700000004,32
0,-1683.3894,-17274.8465,-3073.378,1857.4945,-1202.2015,-18958.2359,-2418.085,-21376.3209,33
1,-1683.1545,-17297.0258,-3065.7396,1856.7432,-1195.89,-18980.1803,-2404.8864000000003,-21385.0667,33
2,-1694.1728,-17174.3096,-3052.3655,1851.8482,-1187.7158,-18868.4824,-2388.2331,-21256.7155,33
3,-1705.2645,-17319.9104,-2977.2563,1848.6777,-1192.5009,-19025.1749,-2321.0795,-21346.2544,33
4,-1691.485,-17237.9721,-3041.0567,1855.5195,-1192.434,-18929.4571,-2377.9712,-21307.428300000003,33
5,-1656.1195,-17303.4884,-3022.9287,1854.9997,-1208.7759,-18959.6079,-2376.7048999999997,-21336.3128,33
6,-1696.5284,-17255.8394,-3124.7124,1857.5087,-1205.1956,-18952.3678,-2472.3993,-21424.7671,33
7,-1702.8517,-17283.8376,-3050.1379,1849.5518,-1199.6111,-18986.6893,-2400.1972000000005,-21386.8865,33
8,-1704.8883,-17139.1682,-3126.3812,1856.7196,-1195.8728,-18844.0565,-2465.5344,-21309.5909,33
9,-1732.4306,-17157.1199,-3104.1465,1848.1107,-1180.1217,-18889.5505,-2436.1575,-21325.708,33
10,-1654.8684,-17242.3901,-3111.6964,1859.9657,-1193.0031,-18897.2585,-2444.7338,-21341.992299999998,33
11,-1706.3691,-17005.969,-3252.7035,1868.1494,-1202.446,-18712.3381,-2587.0001,-21299.338200000002,33
12,-1648.5608,-17061.7643,-3248.6386,1863.0984,-1198.1339,-18710.3251,-2583.6741,-21293.999200000002,33
13,-1699.4196,-17192.4803,-3132.5664,1861.2414,-1188.5483,-18891.8999,-2459.8733,-21351.7732,33
14,-1723.4172,-17062.5782,-3184.3232,1848.8194,-1183.63,-18785.9954,-2519.1337999999996,-21305.1292,33
15,-1676.8959,-17134.9268,-3132.3121,1871.2396,-1215.726,-18811.8227,-2476.7985,-21288.621199999998,33
16,-1686.4909,-17144.6861,-3167.9479,1863.259,-1192.5311,-18831.177,-2497.2200000000003,-21328.396999999997,33
17,-1710.8668,-17214.7482,-3154.9818,1853.5681,-1198.0765,-18925.615,-2499.4902,-21425.1052,33
18,-1707.3968,-17234.5985,-3046.1929,1837.3613,-1178.7396,-18941.9953,-2387.5712000000003,-21329.566499999997,33
19,-1703.1236,-17131.562,-3191.8374,1845.6726,-1176.3985,-18834.6856,-2522.5633,-21357.2489,33
0,-1698.4545,-17310.4795,-3037.3507,1842.5399,-1176.2569,-19008.934,-2371.0677,-21380.0017,34
1,-1672.789,-17261.8508,-3085.7847,1853.5066,-1182.0363,-18934.6398,-2414.3144,-21348.9542,34
2,-1681.7665,-17369.9455,-3000.5779,1847.8508,-1188.1137,-19051.712000000003,-2340.8408000000004,-21392.552800000005,34
3,-1684.7459,-17205.875,-3140.2059,1853.0011,-1183.4951,-18890.6209,-2470.6999,-21361.3208,34
4,-1676.96,-17321.5683,-3023.165,1850.5346,-1187.6571,-18998.528299999998,-2360.2875,-21358.8158,34
5,-1680.3196,-17360.1776,-2956.841,1848.6682,-1180.0609,-19040.497199999998,-2288.2336999999998,-21328.7309,34
6,-1699.3255,-17175.8206,-3075.9254,1852.0513,-1191.5313,-18875.146099999998,-2415.4054,-21290.551499999998,34
7,-1668.601,-17216.9596,-3057.4814,1866.6894,-1207.7265,-18885.560599999997,-2398.5185,-21284.0791,34
8,-1700.7554,-17309.3289,-3042.5643,1848.569,-1184.1649,-19010.084300000002,-2378.1602000000003,-21388.2445,34
9,-1673.4134,-17233.5069,-3082.9367,1854.3382,-1197.2695,-18906.9203,-2425.8680000000004,-21332.788300000004,34
10,-1691.1083,-17295.1411,-3030.4095,1851.0638,-1196.7988,-18986.2494,-2376.1445000000003,-21362.393900000003,34
11,-1670.4011,-17291.5887,-3112.943,1852.675,-1200.6913,-18961.9898,-2460.9593000000004,-21422.949099999998,34
12,-1716.8957,-17247.0069,-3061.3335,1853.8327,-1201.3512,-18963.9026,-2408.8520000000003,-21372.754600000004,34
13,-1691.5034,-17336.7803,-2984.6987,1858.0426,-1202.0841,-19028.2837,-2328.7402,-21357.0239,34
14,-1679.9718,-17187.8964,-3151.8187,1863.8591,-1203.5542,-18867.8682,-2491.5137999999997,-21359.381999999998,34
15,-1648.5502,-17364.1185,-2997.1921,1858.8553,-1198.3303,-19012.668700000002,-2336.6671000000006,-21349.335800000004,34
16,-1705.0805,-17323.5048,-3006.5868,1859.5688,-1203.7065,-19028.5853,-2350.7245000000003,-21379.3098,34
17,-1689.3957,-17192.0765,-3100.1148,1863.2212,-1203.6498,-18881.4722,-2440.5433999999996,-21322.0156,34
18,-1669.4349,-17270.4833,-3082.9794,1861.1328,-1205.3736,-18939.9182,-2427.2201999999997,-21367.1384,34
19,-1704.7979,-17286.8481,-3067.2869,1857.6079,-1202.3809,-18991.646,-2412.0599,-21403.7059,34
0,-1670.389,-17340.6819,-3012.1285,1864.1284,-1210.0461,-19011.0709,-2358.0461999999998,-21369.117099999996,35
1,-1695.8236,-17090.8185,-3184.3925,1872.0759,-1214.068,-18786.6421,-2526.3846,-21313.0267,35
2,-1703.7859,-17232.3079,-3030.6381,1853.0672,-1191.9773,-18936.0938,-2369.5482,-21305.641999999996,35
3,-1714.9989,-17258.8422,-3004.3661,1849.4904,-1186.9308,-18973.841099999998,-2341.8065000000006,-21315.647599999997,35
